ProductType,ModelName,ModelFeatures,Price
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V36,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V37,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V38,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V39,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V40,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V41,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V42,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V43,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V44,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V45,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V46,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V47,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V48,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Sony Alpha a7 III V49,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V50,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Nintendo Switch OLED V51,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Canon EOS R5 V52,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V53,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V54,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V55,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V56,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V57,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V58,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V59,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V60,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Nikon Z6 II V61,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V62,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V63,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V64,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V65,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V66,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V67,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Nintendo Switch OLED V68,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V69,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V70,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V71,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V72,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V73,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V74,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V75,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Canon EOS R5 V76,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V77,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V78,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V79,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V80,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Nintendo Switch OLED V81,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V82,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V83,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V84,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V85,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Nintendo Switch OLED V86,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V87,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V88,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Canon EOS R5 V89,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V90,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V91,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V92,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V93,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V94,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V95,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V96,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Sony Alpha a7 III V97,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V98,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V99,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V0,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V1,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V2,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V3,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V4,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V5,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V6,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V7,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V8,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Sony Alpha a7 III V9,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Nintendo Switch OLED V10,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V11,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V12,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V13,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V14,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Sony Alpha a7 III V15,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V16,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V17,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V18,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V19,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V20,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V21,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V22,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V23,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V24,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V25,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V26,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V27,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V28,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V29,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V30,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V31,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V32,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V33,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V34,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V35,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V36,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Canon EOS R5 V37,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V38,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V39,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V40,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V41,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V42,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V43,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V44,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V45,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V46,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V47,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V48,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V49,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V50,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V51,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V52,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V53,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V54,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V55,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V56,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V57,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V58,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V59,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V60,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Microsoft Xbox Series X V61,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V62,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V63,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V64,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V65,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V66,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V67,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V68,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V69,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V70,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V71,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Sony Alpha a7 III V72,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V73,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V74,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V75,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V76,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V77,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V78,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V79,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Microsoft Xbox Series X V80,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V81,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V82,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V83,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V84,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V85,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V86,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V87,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V88,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V89,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
